eres,linewidth,imax,width,length
1.658573904,0.080922547,5.10E-15,22.1567,82.622
1.387474875,0.087035503,3.51E-15,18.4045,95.5664
1.772252722,0.082920929,5.79E-15,25.0225,80.0097
1.480331234,0.081976204,2.86E-15,18.0176,84.726
1.508246029,0.080947454,2.91E-15,18.3976,82.7933
1.47928949,0.08016867,2.08E-15,16.5345,80.0435
1.912108705,0.332168053,4.70E-14,79,149
1.752559647,0.079667086,4.68E-15,23.3892,77.0025
1.901096454,0.438796348,6.04E-14,92,165
1.489592926,0.084209561,4.04E-15,19.0369,90.0679
2.025480611,0.131283866,2.12E-15,31.63,69.84
1.808958186,0.081626506,4.69E-15,24.5089,76.0002
2.078123517,0.167248273,8.12E-16,30.6,62.2
1.385529672,0.086613117,3.26E-15,18.0342,94.335
1.885678295,0.387076812,5.68E-14,86,161
1.329641452,0.088057772,2.66E-15,17.0342,95.635
1.822446669,0.196031785,3.80E-14,55,135
2.080514685,0.163575893,6.64E-16,29.6,59.6
2.154883343,0.253870061,2.38E-15,47.6,78
1.618132024,0.081755196,5.03E-15,21.5438,84.623
1.453285263,0.085018541,3.76E-15,18.6389,91.7605
1.878046239,0.530955944,7.01E-14,100,178
1.440673662,0.082060855,2.21E-15,16.7356,83.6018
1.379349932,0.082535166,1.35E-15,15.0758,80.6873
1.510609718,0.085120246,4.86E-15,20.3369,91.6785
1.945094609,0.345185693,4.58E-14,81,147
1.394765769,0.089422867,4.90E-15,19.9396,101.086
1.988318662,0.192502601,1.59E-14,52,107
1.621556854,0.079127075,3.92E-15,20.2868,80.5002
1.698655683,0.077441763,3.88E-15,21.2781,76.01
1.972504195,0.162889717,7.38E-15,40,90.5
1.590518165,0.083075153,5.26E-15,21.585,87.275
2.062665565,0.164532354,8.83E-16,30.4,62.7
1.707218916,0.091215497,9.89E-15,27.09,92.99
2.007000049,0.161608768,6.76E-15,41.2,88.6
1.48762925,0.079269561,1.87E-15,16.2817,77.6958
1.929748096,0.133418558,1.05E-14,39,94
1.372272116,0.089947442,4.68E-15,19.3396,102.586
1.660728602,0.231077527,5.31E-14,57,163
1.595057561,0.083747429,5.63E-15,22,88.1
2.064617405,0.184038202,4.61E-15,43,84.5
1.433800284,0.080640458,1.54E-15,15.8817,78.2407
1.963380098,0.264077059,3.20E-14,68,130
1.998991164,0.156569095,6.69E-15,40.2,88.1
1.879635535,0.341207278,5.28E-14,80,156
1.714557233,0.078365637,4.35E-15,22.2108,77.2005
1.85797205,0.245502792,4.28E-14,64.5,142.5
2.179472293,0.280400198,2.23E-15,50,77.5
1.745511122,0.080019079,4.71E-15,23.3895,77.4743
1.677910509,0.232269624,5.26E-14,58,161
2.132963977,0.201137924,1.59E-15,40.2,71
2.039848903,0.191841638,9.16E-15,49,96
2.032900967,0.14914155,1.03E-15,29,63.4
2.061488846,0.149084224,1.44E-15,32.5,67
1.875196107,0.244362531,4.12E-14,65,140
1.775693728,0.408259134,6.76E-14,86,179
2.033841717,0.142620193,1.84E-15,32.1,69.2
1.918244077,0.162593809,1.96E-14,48,110
2.220436734,0.331460355,2.06E-16,35.43,52.78
2.030150738,0.175982197,9.07E-15,47,94.6
1.550990618,0.084455659,5.25E-15,21.0369,90.0678
1.841649523,0.228802369,4.23E-14,62,141
2.044868143,0.157704506,3.87E-15,38.5,80
1.585684212,0.08417762,5.68E-15,21.7369,89.0679
1.732649378,0.080017472,5.04E-15,23.0405,79.0842
1.925454089,0.346556038,4.81E-14,81,150
2.010525172,0.446512773,4.96E-14,94,150
2.091675122,0.178002535,7.37E-16,31.5,61.5
2.084019251,0.18485581,4.70E-15,44.8,84.5
1.72736903,0.087570742,8.21E-15,26.0441,88.1511
1.408802708,0.081878053,1.60E-15,15.8758,80.6873
1.779961609,0.085284981,6.54E-15,26.0493,82.057
1.436290799,0.08188782,2.05E-15,16.1884,83.05
1.46594975,0.080409774,1.95E-15,16.2345,80.0435
2.092821706,0.164273833,2.46E-15,38.5,74.5
1.312703435,0.09169996,3.88E-15,18.3396,104.586
1.914241478,0.128933922,1.20E-14,39,96
1.660473891,0.075665995,2.96E-15,19.9987,73.3663
1.457010599,0.082436952,2.65E-15,17.4,85.2511
1.718623027,0.086819427,7.91E-15,25.5111,87.9111
1.919821187,0.33744858,4.78E-14,80,149.5
1.750927646,0.079558999,4.62E-15,23.179,76.861
2.084336082,0.202609499,6.24E-15,48.7,90
1.428306183,0.086316761,3.92E-15,18.4596,94.6315
1.54823298,0.086355571,6.14E-15,22.0692,93.0667
1.720342016,0.087161439,8.05E-15,25.6441,88.1511
1.57967994,0.0876735,7.29E-15,23.3057,94.1702
1.446273902,0.085375175,3.80E-15,18.6389,92.4605
1.584086764,0.086403787,6.71E-15,22.3692,92.6668
1.380391058,0.087405424,3.54E-15,18.4045,96.3664
1.672206193,0.077667785,3.86E-15,20.7744,77.3268
1.454383547,0.083663978,3.16E-15,18.4254,88.0365
1.724575342,0.075608929,3.31E-15,21.0474,72.6573
1.441527085,0.08613445,4.08E-15,18.8727,94.1394
1.464533262,0.081826531,2.54E-15,17.8447,83.4802
1.689553126,0.082066935,5.81E-15,22.8221,83.638
1.716140106,0.08599862,7.56E-15,25.1111,87.1111
2.093940029,0.173505351,5.29E-16,29.6,57.81
2.024631464,0.155047565,1.10E-15,29.4,64.5
1.480678021,0.083645521,3.61E-15,18.5515,88.9567
2.186187421,0.261343511,2.73E-16,34.03,54.18
2.078385447,0.172078189,5.49E-16,29,58.5
2.056501798,0.173621326,5.58E-15,44,86.4
1.377475245,0.084723282,2.21E-15,16.3463,88.6663
1.982358495,0.121706244,2.18E-15,29.5,69
1.929838104,0.365082575,4.94E-14,83.5,151.5
1.381077806,0.086831543,3.27E-15,18.0342,94.935
1.888350845,0.151349552,2.12E-14,46,111
2.125166866,0.234724558,4.08E-15,49.8,84.87
1.741627774,0.079675431,4.85E-15,23.179,77.861
1.917857083,0.338308183,4.83E-14,80,150
1.769348083,0.32851766,6.07E-14,76,169
1.713826867,0.082257642,5.95E-15,23.722,82.6384
1.494983925,0.086026379,5.01E-15,20.1465,93.604
2.073922783,0.154116676,8.63E-16,30.5,61.7
2.036881481,0.179471094,5.14E-15,42,85.6
2.05821909,0.177256775,5.13E-15,43.7,85.3
1.370401473,0.083281729,1.50E-15,15.5534,82.5011
1.74208643,0.084619943,6.85E-15,25.3493,83.857
1.24465541,0.095302543,1.65E-15,15.0418,94.9517
1.255479339,0.093571004,1.59E-15,15.1574,93.385
2.074620091,0.158675578,9.33E-16,31.53,62.8
2.124347108,0.219722044,3.31E-15,46.7,81.4
1.884817322,0.32580228,5.06E-14,78,153
1.451893746,0.080058428,1.60E-15,16.0817,77.6958
1.517123958,0.086440264,5.63E-15,20.9595,94.1085
1.407659932,0.083788527,2.37E-15,17.0157,87.085
1.394176345,0.083906859,2.16E-15,16.3333,87.0933
1.586253876,0.074768257,1.72E-15,17.0459,70.02
1.483162163,0.079951406,2.06E-15,16.5345,79.5435
1.364638561,0.083577718,1.51E-15,15.5534,83.05
1.927813636,0.101172956,2.04E-15,25.8,66
2.07513591,0.152409741,1.17E-15,32.53,64.8
2.01881136,0.496051502,5.54E-14,100,155
1.400051957,0.084072299,2.35E-15,16.7157,87.885
1.634955267,0.08777126,8.02E-15,24.3222,92.7232
1.849455604,0.246325303,4.42E-14,65,144
1.531507233,0.079155959,2.55E-15,18.0838,79.0405
2.000001567,0.138291028,2.25E-15,31.1,71.2
1.593165138,0.083709906,5.58E-15,21.7369,88.2068
2.004810178,0.143843328,1.18E-15,28,64
1.392178805,0.085576588,2.89E-15,17.4959,91.7662
2.068800459,0.198715738,7.11E-15,49,92
1.88407584,0.124042313,1.48E-14,39,100
1.932397851,0.347774606,4.73E-14,81.3,149
1.643046091,0.081756649,5.33E-15,22.1567,84.322
2.019620607,0.176308346,5.92E-15,42,87.6
1.4538175,0.082635919,2.68E-15,17.2176,85.726
1.453640529,0.082626607,2.67E-15,17.3176,85.626
1.757278455,0.076737784,3.33E-15,22.0474,72.0573
2.014769987,0.149456786,1.51E-15,30,67.4
1.416170589,0.081093696,1.42E-15,15.3511,78.4598
1.838354664,0.334749779,5.61E-14,78.3,161
2.020312566,0.14642746,1.48E-15,30,66.81
1.411937133,0.085291682,3.14E-15,18.0418,91.5517
1.399700563,0.084110229,2.36E-15,16.561,88.1253
1.705510933,0.081864245,5.84E-15,24.0762,82.389
1.411848908,0.083070539,2.12E-15,16.2727,85.3412
1.365771225,0.087019633,3.03E-15,17.4476,95.11
1.842888872,0.246628867,4.51E-14,65,145
1.758706215,0.07983979,4.76E-15,23.6892,77.0025
1.71779978,0.080483422,5.17E-15,23.2822,79.8825
1.996045494,0.164920306,8.57E-15,43,93
2.007330162,0.139753569,1.40E-15,29,66.2
1.388525927,0.085593016,2.84E-15,17.7418,91.4517
2.010697527,0.163285247,6.96E-15,42,89
